ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	015		65	65	Shoemaker	Ed		1408
8/28/2018	REP	Republican	USR	United States Representative	HIL	Hillsborough	015		109	109	Spano	Ross		17513
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	015		20	20	Spano	Ross		3153
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	015		65	65	Spano	Ross		6238
8/28/2018	REP	Republican	USR	United States Representative	CHA	Charlotte	017		67	67	Akins	Bill		4293
8/28/2018	REP	Republican	USR	United States Representative	DES	Desoto	017		15	15	Akins	Bill		332
8/28/2018	REP	Republican	USR	United States Representative	GLA	Glades	017		13	13	Akins	Bill		176
8/28/2018	REP	Republican	USR	United States Representative	HAR	Hardee	017		12	12	Akins	Bill		325
8/28/2018	REP	Republican	USR	United States Representative	HIG	Highlands	017		25	25	Akins	Bill		2132
8/28/2018	REP	Republican	USR	United States Representative	LEE	Lee	017		15	15	Akins	Bill		1557
8/28/2018	REP	Republican	USR	United States Representative	OKE	Okeechobee	017		0	0	Akins	Bill		758
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	017		25	25	Akins	Bill		2164
8/28/2018	REP	Republican	USR	United States Representative	SAR	Sarasota	017		51	51	Akins	Bill		3405
8/28/2018	REP	Republican	USR	United States Representative	CHA	Charlotte	017		67	67	Gonzalez	Julio		2865
8/28/2018	REP	Republican	USR	United States Representative	DES	Desoto	017		15	15	Gonzalez	Julio		224
8/28/2018	REP	Republican	USR	United States Representative	GLA	Glades	017		13	13	Gonzalez	Julio		88
8/28/2018	REP	Republican	USR	United States Representative	HAR	Hardee	017		12	12	Gonzalez	Julio		269
8/28/2018	REP	Republican	USR	United States Representative	HIG	Highlands	017		25	25	Gonzalez	Julio		1694
