State Legislative District,Office,Party,Candidate,Votes
House 83,Governor,,Under Votes,376
House 83,Governor,DEM,Lupe Valdez,11422
House 83,Governor,LIB,Mark Jay Tippetts,1062
House 83,Governor,REP,Greg Abbott,44003
House 84,Governor,,Over Votes,0
House 84,Governor,,Under Votes,463
House 84,Governor,DEM,Lupe Valdez,17513
House 84,Governor,LIB,Mark Jay Tippetts,1194
House 84,Governor,REP,Greg Abbott,28123
House 85,Governor,,Over Votes,0
House 85,Governor,,Under Votes,437
House 85,Governor,DEM,Lupe Valdez,22848
House 85,Governor,LIB,Mark Jay Tippetts,661
House 85,Governor,REP,Greg Abbott,33861
House 86,Governor,,Gregg Abbott,2788
House 86,Governor,,Lupe Valdez,957
House 86,Governor,,Mark Jay Tippetts,28
House 86,Governor,,OVER VOTES,0
House 86,Governor,,UNDER VOTES,4
House 86,Governor,DEM,Lupe Valdez,8800
House 86,Governor,LIB,Mark Jay Tippetts,757
House 86,Governor,REP,Greg Abbott,45146
House 87,Governor,,OVER VOTES,0
House 87,Governor,,Over Votes,0
House 87,Governor,,UNDER VOTES,19
House 87,Governor,,Under Votes,163
House 87,Governor,DEM,Lupe Valdez,8320
House 87,Governor,LIB,Mark Jay Tippetts,544
House 87,Governor,REP,Greg Abbott,28650
House 88,Governor,,OVER VOTES,0
House 88,Governor,,Over Votes,0
House 88,Governor,,UNDER VOTES,95
House 88,Governor,,Under Votes,76
House 88,Governor,DEM,Lupe Valdez,5972
House 88,Governor,LIB,Mark Jay Tippetts,522
House 88,Governor,LIB .,Mark Jay Tippetts,1
House 88,Governor,OEM,Lupe Valdez,32
House 88,Governor,REP,Greg Abbott,32499
House 88,Governor,REP,Gregg Abbott,550
House 88,Governor,REP,Over Votes,1
House 88,Governor,REP,Under Votes,50
House 89,Governor,,OVER VOTES,2
House 89,Governor,,UNDER VOTES,690
House 89,Governor,DEM,Lupe Valdez,28399
House 89,Governor,LIB,Mark Jay Tippetts,1442
House 89,Governor,REP,Greg Abbott,46785
House 90,Governor,,Over Votes,1
House 90,Governor,,Under Votes,501
House 90,Governor,DEM,Lupe Valdez,19327
House 90,Governor,LIB,Mark Jay Tippetts,370
House 90,Governor,REP,Greg Abbott,6004
House 91,Governor,,Over Votes,4
House 91,Governor,,Under Votes,544
House 91,Governor,DEM,Lupe Valdez,18737
House 91,Governor,LIB,Mark Jay Tippetts,1093
House 91,Governor,REP,Greg Abbott,35653
House 92,Governor,,Over Votes,2
House 92,Governor,,Under Votes,587
House 92,Governor,DEM,Lupe Valdez,25284
House 92,Governor,LIB,Mark Jay Tippetts,1241
House 92,Governor,REP,Greg Abbott,33791
House 93,Governor,,Over Votes,6
House 93,Governor,,Under Votes,531
House 93,Governor,DEM,Lupe Valdez,24461
House 93,Governor,LIB,Mark Jay Tippetts,1089
House 93,Governor,REP,Greg Abbott,32607
House 94,Governor,,Over Votes,2
House 94,Governor,,Under Votes,643
House 94,Governor,DEM,Lupe Valdez,25799
House 94,Governor,LIB,Mark Jay Tippetts,1307
House 94,Governor,REP,Greg Abbott,35670
House 95,Governor,,Over Votes,3
House 95,Governor,,Under Votes,516
House 95,Governor,DEM,Lupe Valdez,31582
House 95,Governor,LIB,Mark Jay Tippetts,696
House 95,Governor,REP,Greg Abbott,11199
House 96,Governor,,Over Votes,2
House 96,Governor,,Under Votes,562
House 96,Governor,DEM,Lupe Valdez,28555
House 96,Governor,LIB,Mark Jay Tippetts,1066
House 96,Governor,REP,Greg Abbott,35375
House 97,Governor,,Over Votes,10
House 97,Governor,,Under Votes,694
House 97,Governor,DEM,Lupe Valdez,27720
House 97,Governor,LIB,Mark Jay Tippetts,1352
House 97,Governor,REP,Greg Abbott,38026
House 98,Governor,,Over Votes,4
House 98,Governor,,Under Votes,729
House 98,Governor,DEM,Lupe Valdez,23684
House 98,Governor,LIB,Mark Jay Tippetts,1593
House 98,Governor,REP,Greg Abbott,59011
House 99,Governor,,Over Votes,6
House 99,Governor,,Under Votes,537
House 99,Governor,DEM,Lupe Valdez,20560
House 99,Governor,LIB,Mark Jay Tippetts,1094
House 99,Governor,REP,Greg Abbott,38489
House 100,Governor,,Over Votes,8
House 100,Governor,,Under Votes,437
House 100,Governor,DEM,Lupe Valdez,30826
House 100,Governor,LIB,Mark Jay Tippetts,989
House 100,Governor,REP,Greg Abbott,9706
House 101,Governor,,Over Votes,2
House 101,Governor,,Under Votes,509
House 101,Governor,DEM,Lupe Valdez,28105
House 101,Governor,LIB,Mark Jay Tippetts,775
House 101,Governor,REP,Greg Abbott,14579
House 102,Governor,,Over Votes,5
House 102,Governor,,Under Votes,638
House 102,Governor,DEM,Lupe Valdez,28728
House 102,Governor,LIB,Mark Jay Tippetts,1329
House 102,Governor,REP,Greg Abbott,27230
House 103,Governor,,Over Votes,17
House 103,Governor,,Under Votes,501
House 103,Governor,DEM,Lupe Valdez,28660
House 103,Governor,LIB,Mark Jay Tippetts,763
House 103,Governor,REP,Greg Abbott,9624
House 104,Governor,,Over Votes,6
House 104,Governor,,Under Votes,412
House 104,Governor,DEM,Lupe Valdez,24173
House 104,Governor,LIB,Mark Jay Tippetts,504
House 104,Governor,REP,Greg Abbott,7076
House 105,Governor,,Over Votes,5
House 105,Governor,,Under Votes,495
House 105,Governor,DEM,Lupe Valdez,23822
House 105,Governor,LIB,Mark Jay Tippetts,841
House 105,Governor,REP,Greg Abbott,20714
House 106,Governor,,Over Votes,11
House 106,Governor,,Under Votes,459
House 106,Governor,DEM,Lupe Valdez,31545
House 106,Governor,LIB,Mark Jay Tippetts,1660
House 106,Governor,REP,Greg Abbott,51719
House 107,Governor,,Over Votes,3
House 107,Governor,,Under Votes,504
House 107,Governor,DEM,Lupe Valdez,26658
House 107,Governor,LIB,Mark Jay Tippetts,1077
House 107,Governor,REP,Greg Abbott,23768
House 108,Governor,,Over Votes,3
House 108,Governor,,Under Votes,1049
House 108,Governor,DEM,Lupe Valdez,36979
House 108,Governor,LIB,Mark Jay Tippetts,2019
House 108,Governor,REP,Greg Abbott,41426
House 109,Governor,,Over Votes,8
House 109,Governor,,Under Votes,476
House 109,Governor,DEM,Lupe Valdez,47617
House 109,Governor,LIB,Mark Jay Tippetts,1249
House 109,Governor,REP,Greg Abbott,12160
House 110,Governor,,Over Votes,6
House 110,Governor,,Under Votes,345
House 110,Governor,DEM,Lupe Valdez,25773
House 110,Governor,LIB,Mark Jay Tippetts,490
House 110,Governor,REP,Greg Abbott,4375
House 111,Governor,,Over Votes,10
House 111,Governor,,Under Votes,475
House 111,Governor,DEM,Lupe Valdez,40003
House 111,Governor,LIB,Mark Jay Tippetts,1019
House 111,Governor,REP,Greg Abbott,13150
House 112,Governor,,Over Votes,5
House 112,Governor,,Under Votes,507
House 112,Governor,DEM,Lupe Valdez,25464
House 112,Governor,LIB,Mark Jay Tippetts,1079
House 112,Governor,REP,Greg Abbott,27038
House 113,Governor,,Over Votes,7
House 113,Governor,,Under Votes,383
House 113,Governor,DEM,Lupe Valdez,26256
House 113,Governor,LIB,Mark Jay Tippetts,946
House 113,Governor,REP,Greg Abbott,25996
House 114,Governor,,Over Votes,3
House 114,Governor,,Under Votes,755
House 114,Governor,DEM,Lupe Valdez,31696
House 114,Governor,LIB,Mark Jay Tippetts,1540
House 114,Governor,REP,Greg Abbott,33892
House 115,Governor,,Over Votes,2
House 115,Governor,,Under Votes,621
House 115,Governor,DEM,Lupe Valdez,28553
House 115,Governor,LIB,Mark Jay Tippetts,1185
House 115,Governor,REP,Greg Abbott,27504
House 116,Governor,,OVER VOTES,1
House 116,Governor,,UNDER VOTES,487
House 116,Governor,DEM,Lupe Valdez,29789
House 116,Governor,LIB,Mark Tippetts,947
House 116,Governor,REP,Greg Abbott,16195
House 117,Governor,,OVER VOTES,0
House 117,Governor,,UNDER VOTES,485
House 117,Governor,DEM,Lupe Valdez,29463
House 117,Governor,LIB,Mark Tippetts,1020
House 117,Governor,REP,Greg Abbott,27596
House 118,Governor,,OVER VOTES,1
House 118,Governor,,UNDER VOTES,477
House 118,Governor,DEM,Lupe Valdez,21934
House 118,Governor,LIB,Mark Tippetts,624
House 118,Governor,REP,Greg Abbott,19131
House 119,Governor,,OVER VOTES,0
House 119,Governor,,UNDER VOTES,432
House 119,Governor,DEM,Lupe Valdez,24586
House 119,Governor,LIB,Mark Tippetts,648
House 119,Governor,REP,Greg Abbott,17379
House 120,Governor,,OVER VOTES,1
House 120,Governor,,UNDER VOTES,432
House 120,Governor,DEM,Lupe Valdez,26044
House 120,Governor,LIB,Mark Tippetts,791
House 120,Governor,REP,Greg Abbott,15750
House 121,Governor,,OVER VOTES,0
House 121,Governor,,UNDER VOTES,623
House 121,Governor,DEM,Lupe Valdez,30935
House 121,Governor,LIB,Mark Tippetts,1499
House 121,Governor,REP,Greg Abbott,41226
House 122,Governor,,OVER VOTES,0
House 122,Governor,,UNDER VOTES,645
House 122,Governor,DEM,Lupe Valdez,34307
House 122,Governor,LIB,Mark Tippetts,1637
House 122,Governor,REP,Greg Abbott,59159
House 123,Governor,,OVER VOTES,0
House 123,Governor,,UNDER VOTES,595
House 123,Governor,DEM,Lupe Valdez,31227
House 123,Governor,LIB,Mark Tippetts,961
House 123,Governor,REP,Greg Abbott,17142
House 124,Governor,,OVER VOTES,0
House 124,Governor,,UNDER VOTES,451
House 124,Governor,DEM,Lupe Valdez,28443
House 124,Governor,LIB,Mark Tippetts,872
House 124,Governor,REP,Greg Abbott,18276
House 125,Governor,,OVER VOTES,1
House 125,Governor,,UNDER VOTES,519
House 125,Governor,DEM,Lupe Valdez,28298
House 125,Governor,LIB,Mark Tippetts,835
House 125,Governor,REP,Greg Abbott,18805
House 126,Governor,,OVERVOTES,1
House 126,Governor,,UNDERVOTES,494
House 126,Governor,DEM,Lupe Valdez,23752
House 126,Governor,LIB,Mark Jay Tippetts,759
House 126,Governor,REP,Greg Abbott,31357
House 127,Governor,,OVERVOTES,1
House 127,Governor,,UNDERVOTES,455
House 127,Governor,DEM,Lupe Valdez,23822
House 127,Governor,LIB,Mark Jay Tippetts,918
House 127,Governor,REP,Greg Abbott,44056
